"code commune insee","nom de_la_commune","first_postal","libelle_d_acheminement","ligne_5","_geopoint"
"49092","CHEMILLE EN ANJOU","49120","CHEMILLE EN ANJOU","LA TOURLANDRY","47.22106925,-0.69643995"
"49092","CHEMILLE EN ANJOU","49120","CHEMILLE EN ANJOU","LES GARDES","47.22106925,-0.69643995"
"49092","CHEMILLE EN ANJOU","49120","CHEMILLE EN ANJOU","MELAY","47.22106925,-0.69643995"
"49092","CHEMILLE EN ANJOU","49120","CHEMILLE EN ANJOU","NEUVY EN MAUGES","47.22106925,-0.69643995"
"49092","CHEMILLE EN ANJOU","49120","CHEMILLE EN ANJOU","STE CHRISTINE","47.22106925,-0.69643995"
"49092","CHEMILLE EN ANJOU","49120","CHEMILLE EN ANJOU","ST GEORGES DES GARDES","47.22106925,-0.69643995"
"49092","CHEMILLE EN ANJOU","49120","CHEMILLE EN ANJOU","ST LEZIN","47.22106925,-0.69643995"
"49092","CHEMILLE EN ANJOU","49310","CHEMILLE EN ANJOU","LA SALLE DE VIHIERS","47.22106925,-0.69643995"
"49092","CHEMILLE EN ANJOU","49670","CHEMILLE EN ANJOU","JOUE ETIAU","47.22106925,-0.69643995"
"49092","CHEMILLE EN ANJOU","49670","CHEMILLE EN ANJOU","VALANJOU","47.22106925,-0.69643995"
"49092","CHEMILLE EN ANJOU","49750","CHEMILLE EN ANJOU","CHANZEAUX","47.22106925,-0.69643995"
"49099","CHOLET","49300","CHOLET",,"47.0358429,-0.8749587"
"49099","CHOLET","49300","CHOLET","LE PUY ST BONNET","47.0358429,-0.8749587"
"49100","CIZAY LA MADELEINE","49700","CIZAY LA MADELEINE",,"47.1825996,-0.1834019"
"49102","CLERE SUR LAYON","49560","CLERE SUR LAYON",,"47.082920599999994,-0.43628075"
"49107","CORNILLE LES CAVES","49140","CORNILLE LES CAVES",,"47.492498850000004,-0.30562685"
"49109","CORON","49690","CORON",,"47.120082,-0.6382852999999999"
"49110","CORZE","49140","CORZE",,"47.542865500000005,-0.3697047"
"49112","LE COUDRAY MACOUARD","49260","LE COUDRAY MACOUARD",,"47.18441465,-0.12978555"
